H508_EV_0	H508_EV_1	H508_EV_10	H508_EV_11	H508_EV_12	H508_EV_13	H508_EV_14	H508_EV_15	H508_EV_16	H508_EV_17	H508_EV_2	H508_EV_3	H508_EV_4	H508_EV_5	H508_EV_6	H508_EV_7	H508_EV_8	H508_EV_9	H508_LSD1_KD_0	H508_LSD1_KD_1	H508_LSD1_KD_10	H508_LSD1_KD_11	H508_LSD1_KD_12	H508_LSD1_KD_13	H508_LSD1_KD_14	H508_LSD1_KD_15	H508_LSD1_KD_16	H508_LSD1_KD_17	H508_LSD1_KD_2	H508_LSD1_KD_3	H508_LSD1_KD_4	H508_LSD1_KD_5	H508_LSD1_KD_6	H508_LSD1_KD_7	H508_LSD1_KD_8	H508_LSD1_KD_9
H2AFZ	ABCA5	AREG	MGAT5	ZSWIM6	PFKFB4	GATA6-AS1	STXBP6	NBEA	DLL1	HJURP	GOLIM4	HPCAL1	SLC20A1	KLF5	MYO7B	RDX	CIT	LINC01559	C15orf48	KDM1A	ZBTB10	ZMAT3	ACSS2	CCDC183	FABP5	KLC4	MARCH8	TTK	B3GNT2	EIF4EBP1	LINC01559	CENPF	FRYL	PMFBP1	PPP1R14C
PCCA	HMOX1	ZSWIM6	SEMA6A	CIR1	RNF217	CCDC183	MALAT1	KRT80	MYLIP	TACC3	CASD1	KCNMB4	SLC26A3	GALNT7	PHF14	TIPARP	PBK	SNRPG	UACA	AGR2	ZNF532	HOXB3	SI	FLNA	KRT18	SPTAN1	PPP1R9A	MIS18BP1	ABAT	CSTB	FXYD3	ARGLU1	AKAP13	RHOU	NDC80
MLXIPL	C3orf52	MEGF9	NABP1	MARCH7	PARP4	TSPAN12	IFT57	BCL9	SETBP1	CCNF	VPS13A	RAB27A	BCAS4	NFIL3	GSN	EREG	LMNB1	RBBP8	B3GNT2	ARL13B	GALNT1	FRYL	KIF16B	CBX5	GPRC5A	LGALS4	KLHL32	SNHG8	PRSS22	JPH1	XBP1	GRB7	LAMB1	PPP1R9A	SPC25
KPNA4	ENC1	MGAT4A	CHD6	NEDD4L	AREG	SRSF2	ATAD5	ZBTB20	NEURL1	OIP5	IARS	NBEA	RHPN2	PAPOLG	KDM7A	NBEA	ZFHX3	ACHE	NR5A2	DUSP5	ASS1	CASP4	NR5A2	ATP5MC1	SNRPG	PNO1	KIAA1324	KIF22	GPRC5A	RASSF6	KRT18	HOXB3	LAMB3	LINC01559	RB1
ACTL6A	C21orf62-AS1	KCNH8	EIF4G1	SETDB2	KIDINS220	HSPA8	PLPP1	SS18	PELI2	ASPM	TUFT1	ANXA13	BDNF-AS	AL136418.1	SEMA3C	IMPA1	GAS2L3	ERLEC1	SAC3D1	RGMB	G2E3	SCD	SHROOM3	S100A4	BRWD1	AC008467.1	UTRN	GTSE1	TUBA1B	LGALS4	RHOBTB1	VEZF1	MYOF	PDGFB	CDK5RAP2
GUCY2C	LINC02023	SQSTM1	MLLT3	SMARCA1	CFLAR	FXYD3	MAP1LC3B	KRT15	MYEF2	SHCBP1	SMARCA1	ISX	ETS2	WDR26	ZNF292	IFRD1	JMJD1C	LDLR	PSMD1	FAM13A	FDFT1	SUCO	IRF8	HSPB1	TSPAN3	OPTN	KCNMB2-AS1	KIFC1	CCL20	XRCC5	LGALS3	LPIN2	NMRK1	AC026471.4	DEPDC1B
S100A10	DPYSL2	XRCC5	DENND4C	PNPLA2	KIAA1109	KLF5	NEO1	SKIL	AMOT	DIAPH3	SS18	SEC24D	PIK3R1	ARID4B	TMEM45B	SORBS1	SEMA5A	GPX2	CENPH	DBN1	SLCO2B1	DSC2	B3GNT2	HNRNPD	LNX1	RASSF6	FAM126A	CBX5	TDP2	GPR173	IER3	CCDC186	CBX5	TDP2	RAD51AP1
THBS1	CADPS	GPCPD1	KPNA4	ITGB6	ANKRD12	MTMR11	PHF20L1	FGD4	RASSF6	SPC25	LSM3	N4BP2	MLLT3	ZNF217	AOAH	CAMK2N1	FNDC3B	FXYD3	PDZK1	FDFT1	LINC01473	SH3KBP1	AUTS2	ESCO2	EZH2	NFE2L3	CA8	ITGA1	FAM13A	SPDEF	SNHG8	NFKBIA	APP	ITGB3BP	ANLN
TSPAN8	GAL3ST1	SORL1	TRPM6	FLNB	SORBS1	MPZL2	DDX60L	RAB30	RIMS2	CENPN	SLCO1A2	AARS	SRSF7	AL031777.3	MAP2K6	NEDD9	KIF4A	LURAP1L	CDKN2B	FCGRT	CALCOCO1	ZNF217	SSFA2	NT5E	KLF7	MYOF	TSC22D1	MELK	FOXP2	FGFR2	ZNRF3	COG3	PRKAR1A	MXI1	TPX2
KANSL1L	XBP1	NCOA1	ANXA2	DDX5	FABP1	TRIM31	ENDOD1	TSPAN8	TIMP2	GTSE1	SFPQ	CEP126	FOXP1	BIRC5	MYO10	PCOLCE2	KPNA2	GLIS3	GFPT1	MAP2K6	MCM6	HS3ST1	MEF2D	LGI4	CLTB	NCKAP5	SFPQ	JMJD1C	WARS	QSOX1	FOS	RHOF	BRWD1	IFRD2	NCAPD3
FBXO32	BACH1	CHD7	ITGB6	EPAS1	SMIM14	DNAJC4	RNF146	CLTB	PLCB4	MDM2	TCP11L2	SPINK4	GOLIM4	BUB1	ARID3A	CBFA2T2	CEP97	PEPD	ATP2B1	CSGALNACT1	KDM7A	ARGLU1	IFRD2	PERP	TUBA1B	PHLDB2	LRMDA	CENPK	PTPRR	SFPQ	ARGLU1	ACTG1	RHOF	PTPN14	BRIP1
