HT29_EV_0	HT29_EV_1	HT29_EV_10	HT29_EV_11	HT29_EV_12	HT29_EV_13	HT29_EV_14	HT29_EV_15	HT29_EV_16	HT29_EV_17	HT29_EV_2	HT29_EV_3	HT29_EV_4	HT29_EV_5	HT29_EV_6	HT29_EV_7	HT29_EV_8	HT29_EV_9	HT29_LSD1_KD_0	HT29_LSD1_KD_1	HT29_LSD1_KD_10	HT29_LSD1_KD_11	HT29_LSD1_KD_12	HT29_LSD1_KD_13	HT29_LSD1_KD_14	HT29_LSD1_KD_15	HT29_LSD1_KD_16	HT29_LSD1_KD_17	HT29_LSD1_KD_2	HT29_LSD1_KD_3	HT29_LSD1_KD_4	HT29_LSD1_KD_5	HT29_LSD1_KD_6	HT29_LSD1_KD_7	HT29_LSD1_KD_8	HT29_LSD1_KD_9
DSP	SESN2	COBLL1	GMPR	POMP	CBLB	ACTG1	NCOA7	ARID3A	JAKMIP2	ACER3	WHAMM	LINC01006	SNHG15	BUB1B	PCMTD1	FRMD4B	EMP3	UNG	TMEM131L	FMNL2	CTSL	MIRLET7BHG	NCL	TMEM134	SERPINB5	ACSL5	GAS2L3	GAS2L3	UGDH	DIXDC1	MDK	CKAP2	RPS27A	RELB	BUB1B
TOP1	NEAT1	SMARCA1	FLG	SLC40A1	RASEF	HSP90B1	DDX39A	XRCC4	PGAP1	GFPT1	CREB3L2	SYT17	RPS6KA2	SDCBP	EEFSEC	GCHFR	ZNF680	IQGAP2	SLC3A1	KCNH8	ITGB6	ARGLU1	RELB	DNAJC9	PLEK2	MAN1A1	GALNT1	ITGA1	ATF3	FOXP2	IFIT1	EDN1	PYGB	SERPINE1	SKA2
IFITM3	GARS	RGS12	PSMB8	HNRNPAB	DNAJC3	DAAM1	ARID4A	TNFSF15	BLMH	NEDD9	IFITM3	LNX1	UBN2	PMEPA1	SMARCA1	ARRDC4	MND1	PROM1	H2AFJ	AC018618.1	RARRES1	SLC40A1	SNCG	HERC6	ODC1	ARHGDIB	STK17A	CENPN	DNAJC3	NAV1	RELB	OAS2	ONECUT2	GNE	ITGB3BP
SMARCA1	SLC12A7	TSC22D1	CEP170	KDM5B	STARD4	C4orf48	CAB39L	CHPF	DLL1	HJURP	UBA5	FBXO32	CD9	PTTG1	SYTL2	CTSZ	GGH	IFRD1	ETS2	NTN4	IL33	IP6K2	TMCO3	MCM3	OSER1	TAF15	SLC44A5	CKAP2	NTN4	NEURL1	ZNRF3	ANXA10	INSR	SLC29A4	MKI67
AFF4	HNRNPAB	KIF3C	TOP1	DOPEY1	MACF1	CYP3A5	SESN2	NRP1	TSPAN5	XRN1	DNAJC10	GSTA4	CBFA2T2	IGF2R	SIDT2	IDH2	E2F1	TUBB	PGM5	ZNF618	F5	XRN1	AKR1B10	PLK2	ANXA5	H2AFJ	NREP	CDCA8	JUND	HPN	PADI1	GAS2L3	IGF1R	AZGP1	TMPO
ITM2B	FOSL1	ZNF708	NBAS	TIPARP	LNX1	ARID4A	ISG15	DLGAP1-AS2	RFX6	CENPE	SLC7A11	HIPK2	FNBP1	ACTB	MBNL2	TCEAL9	SLC16A4	NHS	COL17A1	SHANK2	ZKSCAN1	ADGRG6	MAPK6	ITGAV	ME1	SLC7A5	ZNF260	LINC02432	MAPK6	CCDC125	TFPI	SOGA1	ZMYM2	PAM	PARP1
SLC7A1	PERP	LARGE2	MAML3	SLC1A5	GARS	PSME4	SSFA2	ARHGDIB	FSIP2	PHIP	SESN2	DNMT3A	NUDT4	TOP1	LAMB3	SERP2	PRKDC	ERN2	MT2A	EREG	SLC38A11	TANK	HNRNPH1	KNSTRN	DUSP5	HSPA5	SORBS2	DLGAP5	NASP	RAB30	DDX10	MIRLET7BHG	HMGA1	MTUS2	DTYMK
FAM210A	KLF10	SORBS2	CEP126	ITM2B	IL6R	RABAC1	PRSS3	AXL	ZNF273	MIS18BP1	ANKRD12	SLC16A7	FRY	TROAP	F5	BIRC3	NEDD9	FBP1	MAD2L1	RAB30	LPIN1	TSHZ1	CBLB	HMGCS1	CENPK	SPTBN1	EXOSC8	NCAPD2	PELI2	DLL1	CRYBG1	ECT2	ADGRG6	PGM2L1	XRCC2
TRIM24	AMN1	GALNT1	FAM107B	SRM	ZNF292	FHL2	TOX3	NAT14	ACYP2	NEDD4	GK	PLPP1	SLC14A1	ALDH7A1	SDCBP	KLK11	NCAPG	ARHGAP29	PKIB	C20orf96	MAOA	BRWD3	HMGA1	DDX58	ASS1	LINC00467	LRRIQ1	TNFSF10	H2AFJ	MAP4K4	VSIG10L	ISL1	ITGAV	FAM198B	KIF20B
DUSP5	POMP	DLL1	CEP290	TUT4	ERN1	TAF15	PSAT1	MSN	MAN1A1	GLIPR1	COL18A1	MYO1B	AC103702.2	MIRLET7BHG	TES	CLIC3	ECT2	PARD3B	UPP1	MAP2K6	LMAN1	FAT1	RABGAP1L	SLC29A4	GFPT1	SERPINA1	CPLANE1	MIS18BP1	ATP1B3	CABLES2	PGM2L1	KIF18A	FNDC3B	OASL	SMCHD1
LGALS3	WHAMM	KIF3A	AOC1	WDR26	FDPS	PARP14	HNF1B	ITGAV	CTPS2	PDE3B	SRM	RGS12	PSMB8	NR2F2	ITGA6	KIF3A	SPDEF	NCL	UNG	GNAI1	TSHZ2	PMEPA1	SLC38A1	ARFGAP3	EPSTI1	CDC25B	FOXP2	SEMA3C	ZNF432	GNE	ARSE	SLC40A1	TBXAS1	SSFA2	KITLG
